,Unnamed: 0,id,uploader,time-from-upload,category,length,views-cnt,rating,ratings-cnt,comments-cnt,related-vids-cnt,controversial-score,POPULARITY
551,564,zguaFD1keQ0,TRINITYCHGO,1133.0,People & Blogs,185.0,3270,4.2,30,31,14,9.480122324159021,0.15988614298323037
2541,2571,pnzmMhEeZSM,frankjpmorgan,1114.0,News & Politics,151.0,178,0.0,0,0,20,0.0,0.15978456014362658
2361,2390,h_hnJPMRgU0,firestarta81,1108.0,Music,246.0,6209,4.93,27,21,8,3.3821871476888385,0.1597137906137184
1716,1744,EA4AIERt83A,mshroomz,1119.0,Comedy,76.0,2203,1.96,46,67,20,30.41307308216069,0.15912872207327972
1334,1355,NsZHmifwamE,kayvontv,870.0,Comedy,228.0,14820,3.07,41,16,14,1.0796221322537112,0.15890448275862068
1874,1903,mMs721RhXls,ydouactsogay,588.0,Music,137.0,12849,4.0,23,45,20,3.502218071445249,0.15885204081632653
3307,3339,1fCQKc_Uem0,abbeyandrosie,1077.0,Autos & Vehicles,283.0,171,0.0,0,0,0,0.0,0.15877437325905291
3633,3667,x6QG-BVouG0,pangwaiyan,967.0,News & Politics,90.0,11107,4.09,32,16,0,1.4405329972089673,0.15836603929679421
1828,1857,ibdP-pHs4s4,politikewl,1121.0,Education,249.0,2662,4.93,29,13,20,4.883546205860256,0.15834466547725246
1439,1466,hk59AaTsXi8,hotgreg,1131.0,Nonprofits & Activism,161.0,13666,4.75,20,51,20,3.7318893604566075,0.15808311229000885
3966,4000,EWLy53jXPCI,AsikTV,972.0,Entertainment,594.0,13036,4.73,30,2,20,0.15342129487572875,0.15731152263374487
2396,2425,phhwmjVcZBQ,andr3sfc,767.0,Sports,249.0,19870,4.75,24,17,20,0.8555611474584801,0.15690612777053453
3424,3456,-08YZF87OBQ,WimNL,1069.0,Music,426.0,11564,4.96,26,17,14,1.4700795572466276,0.1567775865294668
2062,2091,#NAME?,GreenhouseEffectGE,1131.0,Music,227.0,177,0.0,0,0,20,0.0,0.15649867374005305
1959,1988,Lbi-I-BbBTw,internetcast,1064.0,News & Politics,594.0,529,4.8,30,12,0,22.68431001890359,0.15649718045112784
3456,3489,1yX_KocfhPM,zonamagia,1101.0,Howto & Style,104.0,172,0.0,0,0,0,0.0,0.15622161671207993
2984,3014,LOrrYyLtqiY,123feri,1037.0,Comedy,17.0,162,0.0,0,0,20,0.0,0.1562198649951784
3159,3189,l-V56hnZDyo,NovaManXP,873.0,Entertainment,63.0,136,0.0,0,1,20,7.352941176470588,0.15578465063001146
1081,1099,6a-o8RhPDh8,bnpquest,936.0,News & Politics,280.0,1491,3.96,23,63,0,42.25352112676056,0.1556729487179487
225,231,HLAdLQ78LjU,McLiga4,877.0,News & Politics,636.0,11933,4.52,21,47,20,3.9386575043995644,0.15552661345496008
3825,3859,M-o0OweM3CA,kongben,535.0,Music,253.0,9336,4.77,22,33,20,3.5347043701799485,0.1553904672897196
633,647,MFv_UuHBZVk,cnetrocks,1088.0,Howto & Style,183.0,168,0.0,0,1,0,5.952380952380952,0.15441176470588236
1576,1603,QWASKqQ7EKk,8dznyboy,1070.0,Music,627.0,4612,4.76,29,12,20,2.6019080659150045,0.15435028037383178
901,919,54f8HWpBO1E,Aleetheis,931.0,People & Blogs,53.0,12417,4.57,21,45,20,3.62406378352259,0.15430727175080558
2759,2789,1ZkR-6IF_w8,ShaniaRichards,823.0,Pets & Animals,240.0,11448,4.87,23,28,20,2.4458420684835778,0.153920085054678
2127,2156,F1eVX4rGCRU,TheGameOvais,1123.0,Film & Animation,450.0,1890,4.85,26,26,20,13.756613756613756,0.15378299198575246
2374,2403,vNuXHSFGOnM,SomebodyKickin,1124.0,Comedy,9.0,6427,2.92,37,40,14,6.223743581764431,0.15375797153024912
